City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,76.78,light rain,-23.1203,-134.9692,People ThankYou
11,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Butaritari,KI,79.81,light rain,3.0707,172.7902,Isles Sunset Lodge
15,Broome,US,72.68,clear sky,42.2506,-75.833,Chenango Valley State Park
17,Bumba,CD,73.4,light rain,2.1833,22.4667,Père Carlos
21,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Bonthe,SL,80.69,broken clouds,7.5264,-12.505,Bonthe Holiday Village
23,Bambanglipuro,ID,76.82,broken clouds,-7.95,110.2833,Puri Brata
24,Dingle,PH,77.74,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
29,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
33,Vaini,TO,72.28,moderate rain,-21.2,-175.2,Keleti Beach Resort
35,Kapit,MY,71.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
36,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Atuona,PF,78.28,light rain,-9.8,-139.0333,Villa Enata
39,Esperance,AU,70.21,overcast clouds,-33.8667,121.9,Hospitality Esperance
41,Safaga,EG,78.44,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
46,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
47,Santa Maria,BR,79.92,moderate rain,-29.6842,-53.8069,Hotel Morotin
49,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
50,Takoradi,GH,79.92,light rain,4.8845,-1.7554,Raybow International Hotel
52,Sur,OM,85.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Hithadhoo,MV,83.52,broken clouds,-0.6,73.0833,Scoop Guest House
56,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
60,Victoria,HK,81.32,clear sky,22.2855,114.1577,Mini Hotel Central
64,Panguna,PG,71.83,broken clouds,-6.3164,155.4848,
71,Barranca,PE,70.05,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
72,Lisala,CD,71.19,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
73,Poum,NC,74.41,overcast clouds,-20.2333,164.0167,
